"Volcano.Number","Volcano.Name","Country","Volcanic.Region.Group","Volcanic.Region","Volcano.Landform","Primary.Volcano.Type","Activity.Evidence","Last.Known.Eruption.1","Latitude","Longitude","Elevation..m.","Dominant.Rock.Type","Tectonic.Setting","Location","Type","Status","Last.Known.Eruption","Dist_to_Darwin"
265050,"Teon","Indonesia","Sunda-Banda Volcanic Regions","Inner Banda Volcanic Arc","Composite","Stratovolcano","Eruption Observed","1904 CE",-6.976,129.144,728,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Banda Sea","Stratovolcano","Historical","D2",638.012098346505
265040,"Wurlali","Indonesia","Sunda-Banda Volcanic Regions","Inner Banda Volcanic Arc","Composite","Stratovolcano","Eruption Observed","1892 CE",-7.125,128.675,868,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Banda Sea","Stratovolcano","Historical","D3",639.443905739621
265060,"Nila","Indonesia","Sunda-Banda Volcanic Regions","Inner Banda Volcanic Arc","Composite","Stratovolcano","Eruption Observed","1968 CE",-6.73,129.5,781,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Banda Sea","Stratovolcano","Historical","D1",654.357292271173
265070,"Serua","Indonesia","Sunda-Banda Volcanic Regions","Inner Banda Volcanic Arc","Composite","Stratovolcano","Eruption Observed","1921 CE",-6.312,130.017,608,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Banda Sea","Stratovolcano","Historical","D2",690.01211959368
265080,"Manuk","Indonesia","Sunda-Banda Volcanic Regions","Inner Banda Volcanic Arc","Composite","Stratovolcano","Unrest / Holocene","Unknown",-5.543,130.303,257,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Banda Sea","Stratovolcano","Fumarolic","U",771.814273563498
265030,"Utara Wetar","Indonesia","Sunda-Banda Volcanic Regions","Inner Banda Volcanic Arc","Composite","Stratovolcano",NA,NA,-6.635,126.66,239,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)",NA,NA,NA,NA,794.022054139501
264270,"Sirung","Indonesia","Sunda-Banda Volcanic Regions","Sunda Volcanic Arc","Composite","Complex","Eruption Observed","2021 CE",-8.4972,124.1306,1347,"Andesite / Basaltic Andesite","Subduction zone / Crustal thickness unknown","Lesser Sunda Is","Complex volcano","Historical","D1",856.339488321289
265090,"Banda Api","Indonesia","Sunda-Banda Volcanic Regions","Inner Banda Volcanic Arc","Composite","Caldera","Eruption Observed","1988 CE",-4.523,129.881,596,"Dacite","Subduction zone / Oceanic crust (< 15 km)","Banda Sea","Caldera","Historical","D1",889.27133091035
264250,"Iliwerung","Indonesia","Sunda-Banda Volcanic Regions","Sunda Volcanic Arc","Composite","Complex","Eruption Observed","2021 CE",-8.532,123.573,583,"Basalt / Picro-Basalt","Subduction zone / Crustal thickness unknown","Lesser Sunda Is","Complex volcano","Historical","D1",907.220233433942
264240,"Ililabalekan","Indonesia","Sunda-Banda Volcanic Regions","Sunda Volcanic Arc","Composite","Stratovolcano","Unrest / Holocene","Unknown",-8.55,123.38,1018,"Basalt / Picro-Basalt","Subduction zone / Crustal thickness unknown","Lesser Sunda Is","Stratovolcano","Fumarolic","U",924.79781868562
264230,"Lewotolok","Indonesia","Sunda-Banda Volcanic Regions","Sunda Volcanic Arc","Composite","Stratovolcano","Eruption Observed","2026 CE",-8.274,123.508,1431,"Andesite / Basaltic Andesite","Subduction zone / Crustal thickness unknown","Lesser Sunda Is","Stratovolcano","Historical","D2",927.791622850118
264220,"Iliboleng","Indonesia","Sunda-Banda Volcanic Regions","Sunda Volcanic Arc","Composite","Stratovolcano","Eruption Observed","1993 CE",-8.342,123.258,1659,"Basalt / Picro-Basalt","Subduction zone / Crustal thickness unknown","Lesser Sunda Is","Stratovolcano","Historical","D1",947.778994254683
