"Elevation","Rock Type"
800,"Trachyte / Trachydacite"
180,"Rhyolite"
1302,"Trachyandesite / Basaltic Trachyandesite"
2143,"Rhyolite"
1683,"Rhyolite"
4033,"Trachyandesite / Basaltic Trachyandesite"
2145,"Andesite / Basaltic Andesite"
3750,"Andesite / Basaltic Andesite"
1554,"Rhyolite"
875,"Rhyolite"
2728,"Basalt / Picro-Basalt"
2156,"Basalt / Picro-Basalt"
1636,"Rhyolite"
1650,"Basalt / Picro-Basalt"
1111,"Basalt / Picro-Basalt"
5881,"Phonolite"
1146,"Foidite"
1690,"Basalt / Picro-Basalt"
2179,"Phonolite"
1568,"Foidite"
1067,"Foidite"
1554,"Foidite"
1707,"Foidite"
3696,"Trachyandesite / Basaltic Trachyandesite"
4103,"Trachybasalt / Tephrite Basanite"
1460,"Basalt / Picro-Basalt"
2024,"Basalt / Picro-Basalt"
2266,"Basalt / Picro-Basalt"
2006,"Basalt / Picro-Basalt"
2411,"Basalt / Picro-Basalt"
1230,"Trachybasalt / Tephrite Basanite"
930,"Basalt / Picro-Basalt"
1200,"Basalt / Picro-Basalt"
470,"Basalt / Picro-Basalt"
516,"Basalt / Picro-Basalt"
3707,"Andesite / Basaltic Andesite"
4784,"Andesite / Basaltic Andesite"
2400,"Trachybasalt / Tephrite Basanite"
3490,"Andesite / Basaltic Andesite"
1500,"Basalt / Picro-Basalt"
3940,"Andesite / Basaltic Andesite"
3800,"Trachyandesite / Basaltic Trachyandesite"
3190,"Dacite"
1475,"Basalt / Picro-Basalt"
419,"Foidite"
1800,"Trachyte / Trachydacite"
2644,"Trachybasalt / Tephrite Basanite"
388,"Trachybasalt / Tephrite Basanite"
397,"Trachybasalt / Tephrite Basanite"
592,"Rhyolite"
897,"Rhyolite"
146,"Basalt / Picro-Basalt"
522,"Basalt / Picro-Basalt"
246,"Basalt / Picro-Basalt"
205,"Basalt / Picro-Basalt"
171,"Basalt / Picro-Basalt"
368,"Andesite / Basaltic Andesite"
3568,"Andesite / Basaltic Andesite"
2950,"Trachybasalt / Tephrite Basanite"
3384,"Andesite / Basaltic Andesite"
700,"Trachybasalt / Tephrite Basanite"
2175,"Andesite / Basaltic Andesite"
1000,"Andesite / Basaltic Andesite"
1003,"Basalt / Picro-Basalt"
513,"Basalt / Picro-Basalt"
852,"Basalt / Picro-Basalt"
722,"Andesite / Basaltic Andesite"
1309,"Andesite / Basaltic Andesite"
2157,"Dacite"
1503,"Dacite"
1819,"Dacite"
1862,"Andesite / Basaltic Andesite"
737,"Andesite / Basaltic Andesite"
2151,"Dacite"
2122,"Basalt / Picro-Basalt"
2467,"Basalt / Picro-Basalt"
1900,"Andesite / Basaltic Andesite"
1717,"Andesite / Basaltic Andesite"
849,"Andesite / Basaltic Andesite"
1282,"Andesite / Basaltic Andesite"
2184,"Andesite / Basaltic Andesite"
2307,"Andesite / Basaltic Andesite"
2594,"Andesite / Basaltic Andesite"
1796,"Andesite / Basaltic Andesite"
2033,"Trachyandesite / Basaltic Trachyandesite"
1891,"Andesite / Basaltic Andesite"
1625,"Trachybasalt / Tephrite Basanite"
2563,"Andesite / Basaltic Andesite"
662,"No Data (checked)"
507,"Andesite / Basaltic Andesite"
1675,"Andesite / Basaltic Andesite"
881,"Andesite / Basaltic Andesite"
1111,"Andesite / Basaltic Andesite"
239,"Andesite / Basaltic Andesite"
1202,"Andesite / Basaltic Andesite"
422,"Andesite / Basaltic Andesite"
1006,"Andesite / Basaltic Andesite"
932,"Andesite / Basaltic Andesite"
1077,"Basalt / Picro-Basalt"
811,"Basalt / Picro-Basalt"
840,"Andesite / Basaltic Andesite"
2938,"Andesite / Basaltic Andesite"
2280,"Basalt / Picro-Basalt"
2824,"Basalt / Picro-Basalt"
2404,"Basalt / Picro-Basalt"
2450,"Basalt / Picro-Basalt"
664,"Andesite / Basaltic Andesite"
1862,"Andesite / Basaltic Andesite"
1885,"Andesite / Basaltic Andesite"
1510,"Andesite / Basaltic Andesite"
834,"Andesite / Basaltic Andesite"
1102,"Andesite / Basaltic Andesite"
1294,"Andesite / Basaltic Andesite"
1157,"Andesite / Basaltic Andesite"
743,"Andesite / Basaltic Andesite"
1388,"Andesite / Basaltic Andesite"
1253,"Andesite / Basaltic Andesite"
1026,"Basalt / Picro-Basalt"
369,"Trachyandesite / Basaltic Trachyandesite"
2260,"Andesite / Basaltic Andesite"
259,"Basalt / Picro-Basalt"
800,"Basalt / Picro-Basalt"
1000,"Basalt / Picro-Basalt"
392,"Basalt / Picro-Basalt"
385,"Basalt / Picro-Basalt"
507,"Trachyandesite / Basaltic Trachyandesite"
301,"Andesite / Basaltic Andesite"
151,"Basalt / Picro-Basalt"
2924,"Andesite / Basaltic Andesite"
1401,"Andesite / Basaltic Andesite"
495,"Andesite / Basaltic Andesite"
-126,"No Data (checked)"
442,"Andesite / Basaltic Andesite"
1167,"No Data (checked)"
532,"Andesite / Basaltic Andesite"
998,"Andesite / Basaltic Andesite"
-360,"No Data (checked)"
503,"Basalt / Picro-Basalt"
900,"Basalt / Picro-Basalt"
892,"Basalt / Picro-Basalt"
1322,"No Data (checked)"
719,"Basalt / Picro-Basalt"
814,"Basalt / Picro-Basalt"
858,"Basalt / Picro-Basalt"
1200,"Basalt / Picro-Basalt"
2020,"Basalt / Picro-Basalt"
1802,"Andesite / Basaltic Andesite"
1906,"Andesite / Basaltic Andesite"
1200,"Basalt / Picro-Basalt"
1200,"Basalt / Picro-Basalt"
1956,"Basalt / Picro-Basalt"
2004,"Basalt / Picro-Basalt"
1442,"Basalt / Picro-Basalt"
1692,"Basalt / Picro-Basalt"
915,"Basalt / Picro-Basalt"
1170,"Basalt / Picro-Basalt"
