"Century","Region","Eruption_Count","Rank"
1500,"Atlantic Ocean Volcanic Regions",18,5
1500,"Middle America-Caribbean Volcanic Regions",57,1
1500,"North America Volcanic Regions",10,8
1500,"Northwestern Pacific Volcanic Regions",31,4
1500,"South America Volcanic Regions",39,3
1500,"Sunda-Banda Volcanic Regions",14,6
1500,"Western Pacific Volcanic Regions",43,2
1600,"Atlantic Ocean Volcanic Regions",26,7
1600,"Middle America-Caribbean Volcanic Regions",48,3
1600,"North America Volcanic Regions",7,10
1600,"Northwestern Pacific Volcanic Regions",69,1
1600,"South America Volcanic Regions",40,4
1600,"Sunda-Banda Volcanic Regions",29,5
1600,"Western Pacific Volcanic Regions",56,2
1700,"Atlantic Ocean Volcanic Regions",46,5
1700,"Middle America-Caribbean Volcanic Regions",52,4
1700,"North America Volcanic Regions",24,9
1700,"Northwestern Pacific Volcanic Regions",109,1
1700,"South America Volcanic Regions",70,2
1700,"Sunda-Banda Volcanic Regions",42,6
1700,"Western Pacific Volcanic Regions",56,3
1800,"Atlantic Ocean Volcanic Regions",34,12
1800,"Middle America-Caribbean Volcanic Regions",140,5
1800,"North America Volcanic Regions",90,6
1800,"Northwestern Pacific Volcanic Regions",189,3
1800,"South America Volcanic Regions",200,2
1800,"Sunda-Banda Volcanic Regions",320,1
1800,"Western Pacific Volcanic Regions",183,4
1900,"Atlantic Ocean Volcanic Regions",52,12
1900,"Middle America-Caribbean Volcanic Regions",270,4
1900,"North America Volcanic Regions",202,7
1900,"Northwestern Pacific Volcanic Regions",549,1
1900,"South America Volcanic Regions",252,6
1900,"Sunda-Banda Volcanic Regions",466,2
1900,"Western Pacific Volcanic Regions",343,3
2000,"Atlantic Ocean Volcanic Regions",13,12
2000,"Middle America-Caribbean Volcanic Regions",144,2
2000,"North America Volcanic Regions",52,7
2000,"Northwestern Pacific Volcanic Regions",157,1
2000,"South America Volcanic Regions",88,6
2000,"Sunda-Banda Volcanic Regions",144,3
2000,"Western Pacific Volcanic Regions",128,4
