"Volcano Number","Volcano Name","Eruption Number","Eruption Category","Area of Activity","VEI","VEI Modifier","Start Year Modifier","Start Year","Start Year Uncertainty","Start Month","Start Day Modifier","Start Day","Start Day Uncertainty","Evidence Method (dating)","End Year Modifier","End Year","End Year Uncertainty","End Month","End Day Modifier","End Day","End Day Uncertainty"
"259010","Newer Volcanics Province","15370","Confirmed Eruption","Red Rock","NULL","NULL","?","-5850","NULL","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"265090","Banda Api","16395","Confirmed Eruption","NULL","3","^","NULL","1586","NULL","4","NULL","17","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"265090","Banda Api","16399","Confirmed Eruption","NULL","3","^","NULL","1632","NULL","12","NULL","16","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"265090","Banda Api","16404","Confirmed Eruption","NULL","2","NULL","NULL","1722","NULL","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"273083","Pinatubo","16863","Confirmed Eruption","NULL","NULL","NULL","NULL","-7030","300","0","NULL","0","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"273083","Pinatubo","16867","Confirmed Eruption","Lower north flank and summit","6","NULL","NULL","1991","NULL","4","NULL","2","NULL","Observations: Reported","NULL","1991","NULL","9","NULL","2","NULL"
"284200","Anatahan","18535","Confirmed Eruption","East Crater","3","NULL","NULL","2003","NULL","5","NULL","10","NULL","Observations: Reported","NULL","2003","NULL","7","NULL","12","3"
"285050","Tokachidake","18637","Confirmed Eruption","NULL","NULL","NULL","NULL","1","50","NULL","NULL","NULL","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"285050","Tokachidake","18646","Confirmed Eruption","Maru-yama (Yunuma)","2","NULL","NULL","1889","NULL","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"300122","Kostakan","19114","Confirmed Eruption","Glavny","1","?","?","1350","NULL","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"300150","Bolshoi Semiachik","17642","Confirmed Eruption","Korona and Yezh lava domes","NULL","NULL","?","-4450","NULL","0","NULL","0","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"300260","Klyuchevskoy","19203","Confirmed Eruption","NULL","4","NULL","NULL","1931","NULL","3","NULL","25","NULL","Observations: Reported","NULL","1931","NULL","3","NULL","27","NULL"
"300260","Klyuchevskoy","19407","Confirmed Eruption","NULL","2","NULL","NULL","1788","NULL","2","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"300260","Klyuchevskoy","19412","Confirmed Eruption","NULL","2","NULL","NULL","1807","NULL","2","NULL","1","30","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"300260","Klyuchevskoy","19437","Confirmed Eruption","Summit, east flank (Bilyukai)","3","NULL","NULL","1937","NULL","4","NULL","3","NULL","Observations: Reported","NULL","1939","NULL","3","NULL","0","NULL"
"300260","Klyuchevskoy","19446","Confirmed Eruption","Summit and SE flank (1500 m)","2","NULL","NULL","1956","NULL","1","NULL","16","15","Observations: Reported","NULL","1956","NULL","8","NULL","2","NULL"
"300260","Klyuchevskoy","19471","Confirmed Eruption","NULL","2","NULL","NULL","1992","NULL","9","NULL","12","NULL","Observations: Reported","NULL","1993","NULL","9","NULL","12","1"
"300260","Klyuchevskoy","19480","Confirmed Eruption","NULL","2","NULL","NULL","2002","NULL","11","NULL","24","NULL","Observations: Reported","NULL","2004","NULL","4","NULL","8","NULL"
"300260","Klyuchevskoy","20786","Confirmed Eruption","Summit crater and multiple flanks","3","NULL","NULL","2013","NULL","8","NULL","15","NULL","Observations: Reported","NULL","2013","NULL","12","NULL","20","NULL"
"311390","Amak","20109","Confirmed Eruption","NULL","NULL","NULL","NULL","1700","NULL","0","NULL","0","NULL","Observations: Reported","NULL","1710","NULL","0","NULL","0","NULL"
"312150","Mageik","20216","Confirmed Eruption","East Mageik","NULL","NULL","?","-650","NULL","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"344040","Telica","10915","Confirmed Eruption","NULL","2","NULL","NULL","1939","NULL","1","NULL","0","NULL","Observations: Reported","NULL","1939","NULL","6","NULL","0","NULL"
"344040","Telica","10924","Confirmed Eruption","NULL","1","NULL","NULL","1962","NULL","1","NULL","16","15","Observations: Reported","NULL","1962","NULL","1","NULL","16","15"
"346010","Baru","11251","Confirmed Eruption","NULL","NULL","NULL","NULL","-1270","100","0","NULL","0","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"346010","Baru","11256","Confirmed Eruption","NULL","NULL","NULL","NULL","1550","10","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"211040","Stromboli","13430","Confirmed Eruption","Summit craters and Sciara del Fuoco","3","NULL","NULL","1910","NULL","5","NULL","0","NULL","Observations: Reported","NULL","1931","NULL","7","NULL","0","NULL"
"221270","Aluto","13957","Confirmed Eruption","NULL","NULL","NULL","?","-50","NULL","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"222090","Olkaria","13991","Confirmed Eruption","NE side (Gorge Farm)","NULL","NULL","?","-6050","NULL","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"243030","Tofua Arc at 20.9°S","14727","Confirmed Eruption","NULL","0","NULL","NULL","1911","NULL","8","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"263090","Tangkuban Parahu","15668","Confirmed Eruption","NULL","2","NULL","NULL","1826","NULL","10","NULL","11","NULL","Observations: Reported","NULL","1826","NULL","10","NULL","11","NULL"
"263090","Tangkuban Parahu","15672","Confirmed Eruption","Kawah Baru","2","NULL","NULL","1896","NULL","5","NULL","22","NULL","Observations: Reported","NULL","1896","NULL","5","NULL","23","NULL"
"243080","Home Reef","14770","Confirmed Eruption","NULL","3","?","NULL","1984","NULL","3","NULL","1","NULL","Observations: Reported","NULL","1984","NULL","3","NULL","5","NULL"
"264250","Iliwerung","16344","Confirmed Eruption","NULL","2","NULL","NULL","1951","NULL","11","NULL","12","NULL","Observations: Reported","NULL","1951","NULL","11","NULL","16","NULL"
"265090","Banda Api","16408","Confirmed Eruption","NULL","2","NULL","NULL","1773","NULL","2","NULL","6","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"267010","Ruang","16493","Confirmed Eruption","NULL","4","?","NULL","2002","NULL","9","NULL","25","NULL","Observations: Reported","NULL","2002","NULL","9","?","29","NULL"
"285050","Tokachidake","18650","Confirmed Eruption","NULL","1","NULL","NULL","1931","NULL","5","NULL","16","NULL","Observations: Reported","NULL","1931","NULL","5","NULL","16","NULL"
"300260","Klyuchevskoy","19399","Confirmed Eruption","NULL","2","NULL","NULL","1737","NULL","9","?","25","NULL","Observations: Reported","NULL","1737","NULL","11","?","4","NULL"
"300260","Klyuchevskoy","19403","Confirmed Eruption","NULL","2","NULL","NULL","1770","NULL","5","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"300260","Klyuchevskoy","19416","Confirmed Eruption","NULL","4","?","NULL","1829","NULL","9","NULL","9","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"300260","Klyuchevskoy","19433","Confirmed Eruption","NULL","2","NULL","NULL","1909","NULL","6","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"300260","Klyuchevskoy","19450","Confirmed Eruption","NULL","3","NULL","NULL","1960","NULL","12","NULL","16","15","Observations: Reported","NULL","1963","NULL","3",">","22","NULL"
"300260","Klyuchevskoy","19467","Confirmed Eruption","NULL","2","NULL","NULL","1986","NULL","6","NULL","8","NULL","Observations: Reported","NULL","1986","NULL","7","NULL","11","NULL"
"300260","Klyuchevskoy","19484","Confirmed Eruption","NULL","1","NULL","NULL","2008","NULL","10","NULL","8","NULL","Observations: Reported","NULL","2009","NULL","4","?","16","NULL"
"300680","Ostry","19620","Confirmed Eruption","SW flank cinder cone","NULL","NULL","?","-2050","NULL","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"314010","St. Paul Island","20403","Confirmed Eruption","West side (Fox Hill)","NULL","NULL","NULL","-1280","40","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
