"Year","Mo","Dy","Tsu","Eq","Name","Location","Country","Latitude","Longitude","Elevation..m.","Type","Eruption","VEI","Agent","Deaths","Death.Description","Missing","Missing.Description","Injuries","Injuries.Description","Damage...Mil.","Damage.Description","Houses.Destroyed","Houses.Destroyed.Description","Total.Deaths","Total.Death.Description","Total.Missing","Total.Missing.Description","Total.Injuries","Total.Injuries.Description","Total.Damage...Mil.","Total.Damage.Description","Total.Houses.Destroyed","Total.Houses.Destroyed.Description"
-4360,NA,NA,NA,NA,"Macauley","Kermadec Is","New Zealand",-30.21,-178.475,238,"Caldera","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4350,NA,NA,NA,NA,"Kikai","Ryukyu Is","Japan",30.793,130.305,704,"Caldera","true",7,"P",NA,3,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,3,NA,3
-4050,NA,NA,NA,NA,"Masaya","Nicaragua","Nicaragua",11.984,-86.169,594,"Caldera","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4000,NA,NA,NA,NA,"Witori","New Britain-SW Pac","Papua New Guinea",-5.575,150.516,724,"Caldera","true",6,"T",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
-3580,NA,NA,NA,NA,"Taal","Luzon-Philippines","Philippines",14.011,120.998,311,"Stratovolcano","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3550,NA,NA,NA,NA,"Pinatubo","Luzon-Philippines","Philippines",15.13,120.35,1486,"Stratovolcano","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2420,NA,NA,NA,NA,"Vesuvius","Italy","Italy",40.821,14.426,1281,"Complex volcano","true",5,"P,T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2040,NA,NA,NA,NA,"Long Island","New Guinea-NE of","Papua New Guinea",-5.358,147.12,1280,"Complex volcano","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1900,NA,NA,NA,NA,"Black Peak","Alaska Peninsula","United States",56.552,-158.785,1032,"Stratovolcano","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1890,NA,NA,NA,NA,"Hudson, Cerro","Chile-S","Chile",-45.9,-72.97,1905,"Stratovolcano","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1860,NA,NA,NA,NA,"St. Helens","US-Washington","United States",46.2,-122.18,2549,"Stratovolcano","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1750,NA,NA,NA,NA,"Veniaminof","Alaska Peninsula","United States",56.17,-159.38,2507,"Stratovolcano","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1645,NA,NA,NA,NA,"Aniakchak","Alaska Peninsula","United States",56.88,-158.17,1341,"Caldera","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1610,NA,NA,3,5877,"Santorini","Greece","Greece",36.404,25.396,367,"Shield volcano","true",7,"W",NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA
-1550,NA,NA,NA,NA,"Redoubt","Alaska-SW","United States",60.485,-152.742,3108,"Stratovolcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1460,NA,NA,NA,NA,"Taupo","New Zealand","New Zealand",-38.781,175.893,760,"Caldera","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1370,NA,NA,NA,NA,"Witori","New Britain-SW Pac","Papua New Guinea",-5.575,150.516,724,"Caldera","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1050,NA,NA,NA,NA,"Pinatubo","Luzon-Philippines","Philippines",15.13,120.35,1486,"Stratovolcano","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1010,NA,NA,NA,NA,"Tungurahua","Ecuador","Ecuador",-1.467,-78.442,5023,"Stratovolcano","true",5,"",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
-455,NA,NA,NA,NA,"Cotopaxi","Ecuador","Ecuador",-0.677,-78.436,5911,"Stratovolcano","true",4,"M",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
