Century,Region,Count
9500 BCE,Northwestern Pacific Volcanic Regions,1
8000 BCE,Sunda-Banda Volcanic Regions,1
8000 BCE,Northwestern Pacific Volcanic Regions,1
7500 BCE,Northwestern Pacific Volcanic Regions,1
7000 BCE,Northwestern Pacific Volcanic Regions,1
6800 BCE,Western Pacific Volcanic Regions,1
6400 BCE,Northwestern Pacific Volcanic Regions,1
6200 BCE,Western Pacific Volcanic Regions,1
5800 BCE,Northwestern Pacific Volcanic Regions,1
5300 BCE,Northwestern Pacific Volcanic Regions,2
5000 BCE,Tonga-Kermadec Volcanic Regions,1
5000 BCE,Eastern Australia Volcanic Regions,1
4900 BCE,Southwestern Pacific Volcanic Regions,1
4900 BCE,Northwestern Pacific Volcanic Regions,1
4500 BCE,Northwestern Pacific Volcanic Regions,3
4400 BCE,Northwestern Pacific Volcanic Regions,1
4300 BCE,Tonga-Kermadec Volcanic Regions,1
4100 BCE,Northwestern Pacific Volcanic Regions,1
4000 BCE,Northwestern Pacific Volcanic Regions,1
3500 BCE,Western Pacific Volcanic Regions,1
3500 BCE,Northwestern Pacific Volcanic Regions,2
3400 BCE,Northwestern Pacific Volcanic Regions,2
3300 BCE,Northwestern Pacific Volcanic Regions,1
3000 BCE,Northwestern Pacific Volcanic Regions,1
2900 BCE,Eastern Australia Volcanic Regions,1
2200 BCE,Northwestern Pacific Volcanic Regions,1
2000 BCE,Northwestern Pacific Volcanic Regions,2
1500 BCE,Northwestern Pacific Volcanic Regions,1
1000 BCE,Southwestern Pacific Volcanic Regions,1
1000 BCE,Northwestern Pacific Volcanic Regions,2
800 BCE,Northwestern Pacific Volcanic Regions,2
700 BCE,Northwestern Pacific Volcanic Regions,1
500 BCE,Northwestern Pacific Volcanic Regions,4
400 BCE,Western Pacific Volcanic Regions,1
300 BCE,Northwestern Pacific Volcanic Regions,1
100 BCE,Northwestern Pacific Volcanic Regions,1
0 BCE,Western Pacific Volcanic Regions,1
0 BCE,Southern Pacific Volcanic Regions,1
1500,Southwestern Pacific Volcanic Regions,2
1500,Northwestern Pacific Volcanic Regions,4
1600,Southwestern Pacific Volcanic Regions,1
1600,Western Pacific Volcanic Regions,2
1600,Northwestern Pacific Volcanic Regions,3
1700,Sunda-Banda Volcanic Regions,2
1700,Northwestern Pacific Volcanic Regions,7
1800,Tonga-Kermadec Volcanic Regions,3
1800,Southern Pacific Volcanic Regions,2
1800,Southwestern Pacific Volcanic Regions,4
1800,Sunda-Banda Volcanic Regions,4
1800,Western Pacific Volcanic Regions,8
1800,Northwestern Pacific Volcanic Regions,15
1900,Tonga-Kermadec Volcanic Regions,6
1900,Southern Pacific Volcanic Regions,8
1900,Southwestern Pacific Volcanic Regions,15
1900,Sunda-Banda Volcanic Regions,22
1900,Western Pacific Volcanic Regions,15
1900,Northwestern Pacific Volcanic Regions,41
2000,Tonga-Kermadec Volcanic Regions,15
2000,Southern Pacific Volcanic Regions,1
2000,Southwestern Pacific Volcanic Regions,17
2000,Sunda-Banda Volcanic Regions,31
2000,Western Pacific Volcanic Regions,22
2000,Northwestern Pacific Volcanic Regions,43
