"Volcano.Number","Volcano.Name","Eruption.Number","Eruption.Category","Area.of.Activity","VEI","VEI.Modifier","Start.Year.Modifier","Start.Year","Start.Year.Uncertainty","Start.Month","Start.Day.Modifier","Start.Day","Start.Day.Uncertainty","Evidence.Method..dating.","End.Year.Modifier","End.Year","End.Year.Uncertainty","End.Month","End.Day.Modifier","End.Day","End.Day.Uncertainty","Country"
241020,"Auckland Volcanic Field",14419,"Confirmed Eruption","Rangitoto","NULL","NULL","NULL",1397,"7","NULL","NULL","NULL","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241020,"Auckland Volcanic Field",22418,"Confirmed Eruption","Rangitoto","NULL","NULL","NULL",1446,"5","NULL","NULL","NULL","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241021,"Tuhua/Mayor Island",14417,"Confirmed Eruption","SE caldera rim","NULL","NULL","NULL",-6050,"75","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241021,"Tuhua/Mayor Island",14418,"Confirmed Eruption","South end of caldera, Taratimi Bay","5","NULL","NULL",-5055,"155","NULL","NULL","NULL","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14438,"Confirmed Eruption","NULL","NULL","NULL","NULL",-420,"30","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14441,"Confirmed Eruption","NULL","NULL","NULL","NULL",100,"40","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14432,"Confirmed Eruption","NULL","5","NULL","NULL",-1700,"100","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14448,"Confirmed Eruption","NULL","NULL","NULL","NULL",1070,"40","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14443,"Confirmed Eruption","NULL","NULL","NULL","NULL",390,"40","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",13347,"Confirmed Eruption","NULL","NULL","NULL","?",1755,"NULL","0","NULL","0","NULL","Sidereal: Dendrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14435,"Confirmed Eruption","NULL","NULL","NULL","NULL",-1190,"40","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14450,"Confirmed Eruption","NULL","NULL","NULL","NULL",1340,"40","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14446,"Confirmed Eruption","NULL","NULL","NULL","NULL",820,"30","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",13348,"Confirmed Eruption","NULL","NULL","NULL","?",1800,"NULL","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14457,"Confirmed Eruption","NULL","NULL","NULL","NULL",1590,"40","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14440,"Confirmed Eruption","NULL","NULL","NULL","NULL",-40,"75","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14429,"Confirmed Eruption","NULL","NULL","NULL","NULL",-2450,"300","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14444,"Confirmed Eruption","NULL","NULL","NULL","NULL",520,"150","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14436,"Confirmed Eruption","Fanthams Peak","NULL","NULL","NULL",-1130,"200","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14449,"Confirmed Eruption","NULL","NULL","NULL","NULL",1300,"50","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14318,"Confirmed Eruption","NULL","NULL","NULL","NULL",1700,"50","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14427,"Confirmed Eruption","NULL","NULL","NULL","NULL",-2850,"300","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14430,"Confirmed Eruption","NULL","NULL","NULL","NULL",-2400,"40","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14431,"Confirmed Eruption","NULL","NULL","NULL","?",-2150,"NULL","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14447,"Confirmed Eruption","NULL","NULL","NULL","NULL",970,"30","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14453,"Confirmed Eruption","NULL","NULL","NULL","NULL",1500,"30","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14458,"Confirmed Eruption","NULL","4","NULL","?",1655,"NULL","0","NULL","0","NULL","Sidereal: Dendrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14420,"Confirmed Eruption","NULL","NULL","NULL","?",-7650,"NULL","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14421,"Confirmed Eruption","NULL","NULL","NULL","?",-7330,"NULL","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14434,"Confirmed Eruption","Southern Beehive","NULL","NULL","?",-1250,"NULL","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14439,"Confirmed Eruption","NULL","NULL","NULL","NULL",-150,"30","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14445,"Confirmed Eruption","NULL","NULL","NULL","?",550,"NULL","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14428,"Confirmed Eruption","NULL","NULL","NULL","?",-2700,"NULL","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14422,"Confirmed Eruption","NULL","NULL","NULL","NULL",-7270,"50","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14425,"Confirmed Eruption","NULL","NULL","NULL","NULL",-5120,"50","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14426,"Confirmed Eruption","NULL","NULL","NULL","?",-3250,"NULL","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14456,"Confirmed Eruption","NULL","NULL","NULL","NULL",1570,"40","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14424,"Confirmed Eruption","NULL","NULL","NULL","?",-6050,"NULL","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14452,"Confirmed Eruption","NULL","NULL","NULL","NULL",1480,"50","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14423,"Confirmed Eruption","NULL","NULL","NULL","NULL",-7000,"100","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14451,"Confirmed Eruption","NULL","NULL","NULL","NULL",1400,"50","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14442,"Confirmed Eruption","NULL","3","?","?",150,"NULL","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14437,"Confirmed Eruption","NULL","NULL","NULL","NULL",-590,"500","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
241030,"Taranaki",14433,"Confirmed Eruption","NULL","NULL","NULL","NULL",-1560,"40","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Zealand"
