"Year","Mo","Dy","Tsu","Eq","Name","Location","Country","Latitude","Longitude","Elevation..m.","Type","Eruption","VEI","Agent","Deaths","Death.Description","Missing","Missing.Description","Injuries","Injuries.Description","Damage...Mil.","Damage.Description","Houses.Destroyed","Houses.Destroyed.Description","Total.Deaths","Total.Death.Description","Total.Missing","Total.Missing.Description","Total.Injuries","Total.Injuries.Description","Total.Damage...Mil.","Total.Damage.Description","Total.Houses.Destroyed","Total.Houses.Destroyed.Description","Cumulative_Eruptions"
1500,NA,NA,NA,NA,"Katla","Iceland-S","Iceland",63.633,-19.083,1490,"Subglacial volcano","true",4,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1
1510,7,25,NA,NA,"Hekla","Iceland-S","Iceland",63.983,-19.666,1490,"Stratovolcano","true",4,"T",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2
1510,10,15,NA,NA,"Hekla","Iceland-S","Iceland",63.983,-19.666,1490,"Stratovolcano","true",4,"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3
1536,3,26,NA,NA,"Etna","Italy","Italy",37.748,14.999,3357,"Stratovolcano","true",3,"T",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,4
1538,9,29,NA,NA,"Campi Flegrei","Italy","Italy",40.827,14.139,458,"Caldera","true",3,"T",24,1,NA,NA,NA,NA,NA,NA,NA,NA,24,1,NA,NA,NA,NA,NA,NA,NA,NA,5
1540,NA,NA,2874,NA,"Augustine","Alaska-SW","United States",59.363,-153.435,1218,"Lava dome","true",4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
1550,11,NA,NA,NA,"Dukono","Halmahera-Indonesia","Indonesia",1.699,127.878,1273,"Complex volcano","true",3,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,7
1550,NA,NA,5863,NA,"Kie Besi","Halmahera-Indonesia","Indonesia",0.32,127.4,1357,"Stratovolcano","true",3,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,8
1564,12,31,NA,NA,"Gamkonora","Halmahera-Indonesia","Indonesia",1.38,127.53,1635,"Stratovolcano","true",3,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,9
1565,8,NA,NA,9788,"Pacaya","Guatemala","Guatemala",14.382,-90.601,2569,"Complex volcano","true",3,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,10
1566,10,31,NA,NA,"Kirishimayama","Kyushu-Japan","Japan",31.934,130.862,1700,"Shield volcano","true",3,"",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,11
1568,NA,NA,NA,NA,"Savo","Solomon Is-SW Pacifi","Solomon Is.",-9.13,159.82,485,"Stratovolcano","true",3,"P,T,M",1001,4,NA,NA,NA,NA,NA,NA,NA,NA,1001,4,NA,NA,NA,NA,NA,NA,NA,NA,12
1570,NA,NA,NA,NA,"Mombacho","Nicaragua","Nicaragua",11.826,-85.968,1344,"Stratovolcano","true",NA,"A",400,3,NA,NA,NA,NA,NA,NA,NA,NA,400,3,NA,NA,NA,NA,NA,NA,NA,NA,13
1572,NA,NA,NA,NA,"Taal","Luzon-Philippines","Philippines",14.011,120.998,311,"Stratovolcano","true",3,"L",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,14
1576,NA,NA,NA,NA,"Colima","Mexico","Mexico",19.514,-103.62,3850,"Stratovolcano","true",3,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,15
1580,5,1,NA,NA,"Sao Jorge","Azores","Portugal",38.65,-28.08,1053,"Fissure vent","true",3,"P",10,1,NA,NA,NA,NA,NA,NA,NA,NA,10,1,NA,NA,NA,NA,NA,NA,NA,NA,16
1580,8,11,NA,NA,"Katla","Iceland-S","Iceland",63.633,-19.083,1490,"Subglacial volcano","true",4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
1580,NA,NA,NA,NA,"Billy Mitchell","Bougainville-SW Paci","Papua New Guinea",-6.09,155.225,1544,"Pyroclastic shield","true",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
1581,12,26,NA,NA,"Fuego","Guatemala","Guatemala",14.473,-90.88,3763,"Stratovolcano","true",4,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,19
1586,NA,NA,NA,NA,"Kelud","Java","Indonesia",-7.935,112.314,1730,"Stratovolcano","true",5,"",10000,4,NA,NA,NA,NA,NA,NA,NA,NA,10000,4,NA,NA,NA,NA,NA,NA,NA,NA,20
